Begun training at epoch 1.
Epoch 61/100 : train_acc:0.473, train_loss:1.918, val_acc:0.430, val_loss:0.430 (65.9584481716156s, ETA:0.7328716463512844h)
Epoch 62/100 : train_acc:0.471, train_loss:1.915, val_acc:0.424, val_loss:0.424 (65.6165657043457s, ETA:0.7108461284637451h)
Epoch 63/100 : train_acc:0.477, train_loss:1.902, val_acc:0.468, val_loss:0.468 (65.63574051856995s, ETA:0.6928217054737938h)
Epoch 64/100 : train_acc:0.478, train_loss:1.890, val_acc:0.431, val_loss:0.431 (65.74705362319946s, ETA:0.6757336066828833h)
Epoch 65/100 : train_acc:0.479, train_loss:1.893, val_acc:0.449, val_loss:0.449 (65.95917582511902s, ETA:0.6595917582511902h)
Epoch 66/100 : train_acc:0.486, train_loss:1.870, val_acc:0.455, val_loss:0.455 (65.90832829475403s, ETA:0.6407754139767753h)
Epoch 67/100 : train_acc:0.483, train_loss:1.875, val_acc:0.415, val_loss:0.415 (65.60476183891296s, ETA:0.6196005284786225h)
Epoch 68/100 : train_acc:0.486, train_loss:1.861, val_acc:0.477, val_loss:0.477 (65.75815010070801s, ETA:0.6027830425898234h)
Epoch 69/100 : train_acc:0.489, train_loss:1.848, val_acc:0.441, val_loss:0.441 (65.6377604007721s, ETA:0.5834467591179742h)
Epoch 70/100 : train_acc:0.485, train_loss:1.859, val_acc:0.432, val_loss:0.432 (65.52313423156738s, ETA:0.5642269892162747h)
Epoch 71/100 : train_acc:0.494, train_loss:1.829, val_acc:0.482, val_loss:0.482 (65.97997045516968s, ETA:0.549833087126414h)
Epoch 72/100 : train_acc:0.497, train_loss:1.824, val_acc:0.445, val_loss:0.445 (65.66620874404907s, ETA:0.5289777926603952h)
Epoch 73/100 : train_acc:0.492, train_loss:1.829, val_acc:0.463, val_loss:0.463 (65.84111666679382s, ETA:0.5120975740750631h)
Epoch 74/100 : train_acc:0.500, train_loss:1.808, val_acc:0.472, val_loss:0.472 (65.67639207839966s, ETA:0.49257294058799744h)
Epoch 75/100 : train_acc:0.498, train_loss:1.814, val_acc:0.416, val_loss:0.416 (65.76325964927673s, ETA:0.4749568752447764h)
Epoch 76/100 : train_acc:0.500, train_loss:1.801, val_acc:0.472, val_loss:0.472 (65.52665162086487s, ETA:0.4550461918115616h)
Epoch 77/100 : train_acc:0.503, train_loss:1.790, val_acc:0.438, val_loss:0.438 (65.67246413230896s, ETA:0.43781642754872635h)
Epoch 78/100 : train_acc:0.500, train_loss:1.796, val_acc:0.450, val_loss:0.450 (66.07843255996704s, ETA:0.4221677635775672h)
Epoch 79/100 : train_acc:0.505, train_loss:1.778, val_acc:0.482, val_loss:0.482 (65.43711471557617s, ETA:0.39989347881740994h)
Epoch 80/100 : train_acc:0.506, train_loss:1.773, val_acc:0.440, val_loss:0.440 (65.53855061531067s, ETA:0.3823082119226456h)
Epoch 81/100 : train_acc:0.505, train_loss:1.778, val_acc:0.478, val_loss:0.478 (65.67285990715027s, ETA:0.3648492217063904h)
Epoch 82/100 : train_acc:0.511, train_loss:1.756, val_acc:0.480, val_loss:0.480 (65.36745977401733s, ETA:0.34499492658509145h)
Epoch 83/100 : train_acc:0.508, train_loss:1.761, val_acc:0.445, val_loss:0.445 (65.48135304450989s, ETA:0.3274067652225494h)
Epoch 84/100 : train_acc:0.510, train_loss:1.751, val_acc:0.489, val_loss:0.489 (66.05153441429138s, ETA:0.3119100236230426h)
Epoch 85/100 : train_acc:0.516, train_loss:1.737, val_acc:0.471, val_loss:0.471 (65.69510889053345s, ETA:0.29197826173570424h)
Epoch 86/100 : train_acc:0.515, train_loss:1.740, val_acc:0.458, val_loss:0.458 (65.5757565498352s, ETA:0.2732323189576467h)
Epoch 87/100 : train_acc:0.518, train_loss:1.724, val_acc:0.494, val_loss:0.494 (65.70680856704712s, ETA:0.2555264777607388h)
Epoch 88/100 : train_acc:0.519, train_loss:1.717, val_acc:0.432, val_loss:0.432 (65.59392619132996s, ETA:0.2368669556909137h)
Epoch 89/100 : train_acc:0.517, train_loss:1.724, val_acc:0.476, val_loss:0.476 (65.94566512107849s, ETA:0.2198188837369283h)
Epoch 90/100 : train_acc:0.526, train_loss:1.703, val_acc:0.479, val_loss:0.479 (65.5657947063446s, ETA:0.2003399282693863h)
Epoch 91/100 : train_acc:0.520, train_loss:1.713, val_acc:0.448, val_loss:0.448 (66.26190829277039s, ETA:0.18406085636880662h)
Epoch 92/100 : train_acc:0.527, train_loss:1.695, val_acc:0.497, val_loss:0.497 (65.79444885253906s, ETA:0.16448612213134767h)
Epoch 93/100 : train_acc:0.525, train_loss:1.688, val_acc:0.456, val_loss:0.456 (65.4166567325592s, ETA:0.145370348294576h)
Epoch 94/100 : train_acc:0.524, train_loss:1.696, val_acc:0.480, val_loss:0.480 (65.3936767578125s, ETA:0.1271543714735243h)
Epoch 95/100 : train_acc:0.529, train_loss:1.679, val_acc:0.502, val_loss:0.502 (66.02468872070312s, ETA:0.11004114786783854h)
Epoch 96/100 : train_acc:0.531, train_loss:1.674, val_acc:0.462, val_loss:0.462 (65.4162540435791s, ETA:0.09085590839385986h)
Epoch 97/100 : train_acc:0.529, train_loss:1.676, val_acc:0.494, val_loss:0.494 (65.5095477104187s, ETA:0.07278838634490967h)
Epoch 98/100 : train_acc:0.533, train_loss:1.665, val_acc:0.485, val_loss:0.485 (65.62483239173889s, ETA:0.05468736032644907h)
Epoch 99/100 : train_acc:0.528, train_loss:1.673, val_acc:0.458, val_loss:0.458 (65.70173287391663s, ETA:0.03650096270773146h)
Epoch 100/100 : train_acc:0.532, train_loss:1.664, val_acc:0.504, val_loss:0.504 (65.43638682365417s, ETA:0.018176774117681715h)
Completed training.
